,have,haue,good,goode,never,neuer,come,cum,unto,vnto,which,whych,kyng,king,kynge,verbe,verb,whiche,hath,has,lorde,lord,yourself,ourself,himself,thynge,thing,NumWords,"('your', 'self')","('our', 'selfe')","('him', 'self')"
1500s,0.0,0.010523057876818322,0.00046425255338904364,0.0,0.0,0.00030950170225936243,0.0006190034045187249,0.0006190034045187249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060352831940575676,0.0,0.002940266171463943,0.00386877127824203,0.0,0.0,0.0,0.0,0.0,0.0,0.0035592695759826677,0.0,6462.0,0.0,0.0,0.0
1520s,0.0,0.006878698224852071,0.0040680473372781065,0.0,0.0003698224852071006,0.0008875739644970414,0.0014053254437869822,0.005695266272189349,7.396449704142012e-05,0.004215976331360947,0.0,0.00014792899408284024,7.396449704142012e-05,0.0004437869822485207,0.000591715976331361,0.0034023668639053253,0.0,0.0015532544378698224,0.0034023668639053253,0.0,0.0008875739644970414,0.00014792899408284024,0.0,0.0,0.0,0.000591715976331361,0.0008875739644970414,13520.0,0.0,4.441680731988984e-05,4.441680731988984e-05
1530s,0.0,0.0079456207229137,0.006567767418362192,0.0,0.0,0.0032609194874385706,0.0015156386350066596,0.0016534239654618105,9.185688697010058e-05,0.0022504937307674644,0.0,9.185688697010058e-05,0.00013778533045515087,0.00022964221742525145,0.00041335599136545264,0.0,0.0,0.002526064391677766,0.002663849722132917,0.0,0.0013319248610664585,0.00022964221742525145,0.0,0.0,0.0,0.0005052128783355532,0.0008267119827309053,21773.0,0.0,0.0,0.0
1540s,0.0,0.00611084793936523,0.0032054318648349913,0.0,0.00011053213327017211,0.0012790146849834202,0.0014842886467708828,0.0003000157903047529,0.00034738670456339806,0.004326543502289594,0.0,0.00034738670456339806,0.008226748776251382,0.0005526606663508606,0.0010421601136901943,0.0,0.0,0.006695089215221854,0.002621190588978367,0.0,0.0037738828359387337,0.001057950418443076,0.0,0.0,0.0,0.00037896731406916154,0.0006631927996210326,63330.0,0.0,1.755880003160584e-05,7.023520012642336e-05
1550s,0.0,0.0,0.0010866612333604998,0.0,0.0,0.00027166530834012495,0.00027166530834012495,0.004618310241782124,0.0,0.0010866612333604998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005433306166802499,0.0,0.0,0.00027166530834012495,0.0,0.0,0.0,0.0,0.0,0.0,3681.0,0.0,0.0,0.0
1560s,0.0,0.011041009463722398,0.0036984662243010986,0.0,0.0,0.0017404546937887524,0.0030457957141303165,0.00021755683672359405,0.0,0.007723267703687588,0.0,0.0,0.0,0.00016316762754269552,0.0,0.0,0.0,0.0007070597193516807,0.0034265201783966063,0.0,0.00016316762754269552,0.0007070597193516807,0.0,0.0,0.0,0.0,0.0008702273468943762,18386.0,0.0,0.0,2.7898672023211696e-05
1570s,0.0,0.006864659926470588,0.00341796875,0.0,0.00014361213235294118,0.0010340073529411765,0.0018956801470588235,0.0008903952205882353,0.0007755055147058823,0.006089154411764706,0.0,0.0,0.00045955882352941176,0.00037339154411764703,0.0,0.0,0.0,0.001579733455882353,0.005284926470588236,0.0,0.0015510110294117646,0.001809512867647059,0.0,0.0,0.0,0.0,0.001608455882352941,34816.0,0.0,0.0,4.851464333651374e-05
1580s,0.0,0.009407469811850604,0.004844144903117102,0.0,7.020499859590003e-05,0.0014040999719180005,0.0037910699241786015,0.0007020499859590003,7.020499859590003e-05,0.0035102499297950014,0.0,0.0,0.0,0.0009828699803426004,0.0,0.0,0.0,0.00014040999719180006,0.0035804549283909013,0.0,7.020499859590003e-05,0.0008424599831508003,0.0,0.0,0.0,0.0,0.0012636899747262005,14244.0,0.0,0.0,0.0
1590s,0.0,0.004003228410008071,0.0023890234059725586,0.0,0.0001937046004842615,0.0007102502017756256,0.0012267958030669896,0.00022598870056497175,0.000129136400322841,0.0014205004035512511,0.0,0.0,0.0,3.228410008071025e-05,0.0,0.0,0.0,0.0,0.004713478611783697,0.0,3.228410008071025e-05,0.0004519774011299435,0.0,0.0,0.0,0.0,0.001033091202582728,30975.0,0.0,0.0,0.0
1600s,0.0,0.011938883261858069,0.006465099239273323,0.0,6.465099239273323e-05,0.002348986056935974,0.0048919250910501475,0.0,0.0,0.002499838372519018,0.0,0.0,0.0,0.001594724479020753,0.0,0.0,0.0,0.0,0.004288515828717971,0.0,0.00023705363877335518,0.0042669654979203935,0.0,0.0,0.0,0.0,0.0015516238174255975,46403.0,2.2210376687988628e-05,1.1105188343994314e-05,0.0
1610s,0.0,0.005557547508067408,0.005139237480578463,0.0,0.0003286721644555994,0.0018226365483446875,0.0029580494801003943,5.9758575355563525e-05,5.9758575355563525e-05,0.00493008246683399,0.0,0.0,0.0,0.0007768614796223258,0.0,0.0,0.0,0.0,0.0037050316720449385,0.0,0.0,0.0021811880004780687,0.0,0.0,0.0,0.0,0.001493964383889088,33468.0,0.0,0.0,0.0
1620s,0.0,0.007661348979294962,0.005091402802696019,0.0,0.0,0.0013577074140522717,0.0023759879745914756,0.0002909373030112011,0.0,0.0016971342675653398,0.0,0.0,0.0,0.0002909373030112011,0.0,9.697910100373369e-05,0.0,0.0,0.0024729670755952093,0.0,0.0,0.0008243223585317364,0.0,0.0,0.0,0.0,0.001551665616059739,20623.0,0.0,0.0,3.060818462856968e-05
1630s,0.0,0.0012498140157714626,0.006040767742895402,0.0,0.0015771462579973218,2.9757476565987204e-05,0.0022020532658830532,2.9757476565987204e-05,0.009641422407379854,0.00020830233596191042,0.0,0.0,0.0,0.00038684719535783365,0.0,0.0,0.0,0.0,0.003600654664484452,0.0,0.0,0.00595149531319744,0.0,0.0,0.0,0.0,0.0022318107424490405,33605.0,0.0,0.0,0.0
